State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.8391491566446005	0.09569937140572822	0.02569111577521326	0.005088285244680998	4.582252353472909E-4	0.00295319933953488	5.023170944120467E-5	5.591972050758348E-4	0.0057561622325285455	0.02459505520784936
2	0.10112828033538425	0.6984815092499191	0.0	0.012180605012591623	0.00217534144524609	0.06155411476391344	0.00182398039935942	4.398736192293471E-4	0.12087730570296044	0.0013389894713963153
3	0.030012752719112797	0.0	0.913801024367489	0.04581956797235707	0.010366654941041192	0.0	0.0	0.0	0.0	0.0
4	0.0034509561700228546	0.008680445319017646	0.028494465028289062	0.9113389706572809	0.030405180421314293	0.015205580176468754	0.0015954065400102303	3.7614605410663844E-4	0.0	4.528496334897627E-4
5	7.973702651898202E-4	0.002868113930129831	0.011462519717631374	0.052877884514634696	0.8987644276032267	3.1981174408151906E-5	0.03277604606374472	1.8816969709382447E-4	0.0	2.334870339409674E-4
6	7.613444084230272E-4	0.01617968329934005	0.0	0.005308129228634219	1.5925784845006264E-5	0.9426507062386498	0.030051892478454738	6.436026400423057E-4	0.0037725290167968913	6.161869048138563E-4
7	1.872721210297153E-5	6.499057382287885E-4	0.0	7.489534810051898E-4	0.009940976105730227	0.04452041308081881	0.9434177075302135	5.971630809497581E-4	0.0	1.0615377095090637E-4
8	5.998219508094345E-4	2.673848192636668E-4	0.0	5.032246944502343E-4	1.2047413196738979E-4	0.0027379259684457064	0.001263812937121989	0.9164151772861767	0.07772849033667656	3.636878750883414E-4
9	1.4484646445236376E-4	0.002673348066077993	0.0	0.0	0.0	3.071247075515017E-4	0.0	0.0018179557808196732	0.9923730881578915	0.0026836368232069636
10	0.011545407626961443	5.239848659386694E-4	0.0	3.2470236540462454E-4	7.102864725481814E-5	0.0010677218917667065	9.321384988792774E-5	2.0093432503300864E-4	0.05457788818545566	0.9315951182422972
